,BRAF,NRAS,TP53,CDKN2A,C15orf23,STK19,OXA1L,ANKRD20A4,RPS27,PTEN,RAC1,TMEM216,ACSM2B,BAGE,LUZP2,SLC38A4,IDH1,PRB2,LCE1B,MRPS31,NOTCH2NL,C8A,HIST1H2AA,NRK,GRXCR1,RUNX1T1,TAF1A,RQCD1,PRB1,NAP1L2,MUM1L1,USP17L2,PRIM2,CDH9,PPP6C,VEGFC,RBM11,FUT9,HBD,NMS,TRAT1,TRIM58,MPP7,CTAGE6P,OR8D4,EMG1,ZNF99,SERPINB3,SPOCK3,HHLA2,CDK4,KLHL4,FRG2B,ELF5,ZNF98,GML,PDE1A,AREG,DDX3X,DMC1,PRB4,DEFB119,OR51S1,SNAP91,AGXT2,RERG,SPAG16,SPRR2G,STARD6,TMCO5A,CRB1,PARM1,DEFB118,LIN7A,ZMAT4,DEFB114,GRXCR2,VSNL1,UGT2A1,PSG4,ACD,POTEG,GK2,ZNF679,FABP2,MKX,TBC1D3B,DACH1,POTEM,HBG1,DEFB112,C3orf71,GNAI2,NDUFB9,HNF4G,MEOX2,EIF3D,PRSS48,TFEC,WDR12,TPTE2,FOLH1B,CLEC4E,UNC119B,KIAA1257
BRAF,0.5,0.500893487476514,0.5017684546823341,0.5017627281233878,0.5020766938587291,0.5021453310838476,0.5022080979396881,0.502280690552677,0.5020482001576871,0.5016623803810272,0.5021347802427006,0.5020650442846833,0.5018505154100081,0.5020997698381904,0.5021058076419795,0.5019814628465643,0.5020310943105601,0.5018272640534344,0.5021487442768919,0.5021720553529592,0.5020237672492696,0.5020385298301568,0.5022223563842628,0.5015918543207649,0.502098166831901,0.5020140415002471,0.5018785247076175,0.5022186300432253,0.5017557589281384,0.5020416890106209,0.5019261181228157,0.5021229577742135,0.5020055201144294,0.5017170547255547,0.5020194442107487,0.5021511748426964,0.5021677999169846,0.5019653316802625,0.5021794489238955,0.5022521130099381,0.5021889706486089,0.5021087135660564,0.5019399662326798,0.5022739437098809,0.5021676146925173,0.5021234270915619,0.5015717696990757,0.5017168510368325,0.5020611080679589,0.5019547588683722,0.5022261708935146,0.5020573327386934,0.5021134085155092,0.5022222927314132,0.5020100119273524,0.5022323537307672,0.5018976250415857,0.5022631606667705,0.5020603374906992,0.5021883610346594,0.5021208701375163,0.5021946131422741,0.5020371631403162,0.5019221336701258,0.5020945315525974,0.5022349430080589,0.5020870367494614,0.5022582415943535,0.5022502218426492,0.5022104244570633,0.5015106673371018,0.502149517800822,0.5022144068776586,0.5022185638797003,0.5021860200910897,0.5022507438628919,0.5021989396754507,0.5022999758028525,0.5020271044128227,0.5016504775939561,0.5021853244228046,0.5019688013214832,0.5019977602847923,0.5020351029925482,0.5022161189607689,0.5021889982366106,0.5022268047457943,0.5019038348691901,0.5022197354023136,0.5021813337218168,0.5022594696292412,0.5022226610164167,0.5022395716075305,0.5022349115132363,0.5018840434887456,0.5022593428868987,0.5022375282451023,0.5022474686422671,0.501999466507112,0.5021107698946718,0.5019004781116942,0.5021598332446032,0.5021993492082512,0.5022213702356477,0.5021295159428087,
NRAS,0.49812445478790457,0.5,0.5016301441064495,0.5016098205825293,0.5018854575396012,0.5020044728995103,0.5020290711876834,0.5020992144418437,0.5018934935189721,0.5015625024731053,0.5019483798851198,0.5019688269636461,0.5016963473238581,0.5019336836687324,0.5019259849304254,0.5017726333213377,0.5018538491126059,0.5016748779397822,0.5019991688330709,0.5019923045886682,0.501816666442534,0.5018679913302906,0.5020333804938921,0.5014856227719066,0.5019402035790241,0.5018371620261997,0.5017268218926133,0.5020385965500317,0.5016386673278895,0.5018696957685779,0.5017738231002493,0.5019521045460842,0.501850231522404,0.5015651485288659,0.5018584480820866,0.501983366943587,0.5020081384050246,0.5017629331416744,0.5020023211581479,0.5020654481465745,0.5020179030564184,0.5019387607258808,0.5017824010950339,0.5020872635482767,0.5019919446915281,0.501948554459231,0.5015213570163667,0.5016002078459678,0.5018527470087408,0.5017677704552495,0.5020212300243918,0.5019112393103815,0.501935534987302,0.5020495236900372,0.5018330079202881,0.5020498284534382,0.5017520112628092,0.5020792504868145,0.5018274765457501,0.5020026461088531,0.5019027729308748,0.5020085967175998,0.5018789967032992,0.5017673682569752,0.5019336619348554,0.5020613741873592,0.5019317528443956,0.5020717933147358,0.502062180788213,0.5020410223599229,0.5013491814210628,0.5019903541942217,0.5020333271849545,0.5020389661413411,0.5019846526419309,0.5020853247018786,0.5020265536922957,0.5021170769311996,0.5018577559949742,0.5015395894100331,0.502002660900434,0.5018149881840737,0.5018421906973145,0.5018831229883758,0.5020501268358677,0.5020146116845583,0.5020669886086653,0.5017614641382794,0.5020467923964494,0.5020064399331604,0.5020763014404321,0.5020622668902974,0.5020543297298835,0.5020490603669796,0.5017545756595861,0.5020792439350447,0.5020373340808046,0.5020661987560971,0.501821635711858,0.5019385528263429,0.5017413490224683,0.501986117352545,0.5020219466933675,0.5020666581757809,0.5019647394765039,
TP53,0.49799702506520027,0.5006277471779249,0.5,0.5015512435269252,0.5018488525294471,0.5019371307264517,0.5019611833673504,0.5020324127204666,0.5018358875581209,0.501514600593041,0.501887834634397,0.5019062664064202,0.5016389259785976,0.5018739472486958,0.5018643878706354,0.5017490129570913,0.5017866302974848,0.5016378117019397,0.5019327388158443,0.5019259948284692,0.5017379881637095,0.5018078134094139,0.5019734366759022,0.5014488509782768,0.5018619531373759,0.5017822953017563,0.5017001239307194,0.5019728923345456,0.5015740963412099,0.5018255226617353,0.5017252981575264,0.5018859840956611,0.5017899762413381,0.5015081356078832,0.501807279365247,0.5019163103694926,0.5019311736371285,0.5017407302977409,0.5019363885940937,0.5020011368129264,0.5019498875007424,0.5018722640950152,0.5017273622340024,0.5020240816243362,0.501932023624783,0.5018840057714498,0.5014606926215679,0.5015530106198536,0.5018184205477091,0.5017048045357738,0.5019759157022241,0.5018480147463865,0.501876935898973,0.5019788809138012,0.5017789165641963,0.5019834759742225,0.5017107439748617,0.5020156786491732,0.5018236110516159,0.5019414464623216,0.5018754270863965,0.5019497052573576,0.5018128149630415,0.5017476669283112,0.5018738018782214,0.5019947409211583,0.5018634666202731,0.5020086680281767,0.501999767040951,0.501973936362495,0.5013097556705122,0.5019258870214235,0.5019724964183562,0.5019743228438936,0.5019435030268304,0.5020093168575651,0.5019625210158096,0.5020502203098923,0.5017957364152704,0.5014968383941244,0.5019462734908562,0.5017595276510202,0.5017759800818782,0.5018192602644553,0.5019839949691018,0.5019477330584038,0.5019995265655228,0.5017320838256293,0.5019797440079281,0.5019409808379875,0.5020107359790876,0.5019764233900437,0.501991703665591,0.5019882826059567,0.501699871091683,0.5020123574090382,0.501988190878815,0.5019999709834462,0.5017999210441946,0.5018731368455978,0.5016760879152535,0.501918386889949,0.5019568386199937,0.5019971156032278,0.5019044426946797,
CDKN2A,0.4980148648592785,0.5006309900070294,0.5015748098799496,0.5,0.5018444076538654,0.5019378406385031,0.5019623109574252,0.5020327983746313,0.5018361850343873,0.5014956343496921,0.5018890396092676,0.501902828902323,0.5016439021006923,0.5018747248105911,0.501863765702061,0.5017419277646862,0.5017897116228879,0.5016491873921582,0.5019337353882958,0.5019325041159277,0.5017438371262514,0.5018108976862932,0.501969734616206,0.5014505331932103,0.50187340836516,0.5017830042499345,0.5016952745203963,0.5019713592845555,0.501575359394057,0.501823644637102,0.5017230683212546,0.5018869080773374,0.5017890840216988,0.5015038322657895,0.5018101486417822,0.5019135332910023,0.501941878486967,0.5017376480221003,0.5019332852964822,0.5020019089922029,0.5019466151306525,0.5018718275022626,0.5017313388692727,0.5020249684368198,0.5019331268074849,0.5018825982598403,0.5014582331876213,0.5015580799306453,0.5018203874443721,0.50174647659821,0.501982057352794,0.501845702250876,0.5018808478754244,0.5019808686602837,0.5017765177664939,0.501984543298418,0.5017095618655786,0.5020143178236453,0.5018234760860005,0.5019411831186901,0.5018773307037955,0.5019497678530862,0.5018134062936627,0.5017485970974883,0.5018772228934066,0.5019946721156961,0.5018734456969842,0.5020094870202552,0.5020003402701407,0.5019746964730759,0.5013210430286283,0.5019264330718758,0.5019711060147416,0.5019745255321544,0.501946619486207,0.5020186917710364,0.5019516890140261,0.5020501760581554,0.5017989150891708,0.5014954844746419,0.5019473700064705,0.5017558370365243,0.5017710973936969,0.5018219048986102,0.5019846872434159,0.501949112807467,0.5020015057834866,0.5017329733815474,0.5019803672320654,0.5019409264299417,0.5020115915733361,0.5019998112756718,0.5019923523154012,0.501988080964524,0.5016908389773729,0.5020083809536104,0.5019901090936597,0.5019972285491063,0.5018015931659232,0.501873914407493,0.5016773434652119,0.501923398897111,0.501956713587439,0.5019996475548858,0.5019031089725761,
C15orf23,0.4980188985420735,0.500596694911555,0.5015624868299254,0.5015344756013191,0.5,0.5019234632127547,0.5019458082643368,0.5020168361084308,0.5018193909055856,0.5015000435640232,0.5018738638929665,0.5018903021083151,0.5016301270073561,0.5018580175098999,0.5018479768739417,0.5017272366583335,0.501775074564615,0.5016322776965523,0.501919365393932,0.5019124527727855,0.5017687557670193,0.5017956880632469,0.5019585114908639,0.5014370057418154,0.5018588554307069,0.5017688917584726,0.5016863272548047,0.5019577406184492,0.501556793266604,0.5018079543582107,0.501707826731449,0.5018737607068683,0.5017746680022419,0.5014897627108608,0.5017863668045389,0.5019010711427946,0.5019263151869622,0.5017281647551418,0.5019207540208033,0.501986779753259,0.5019355041569687,0.5018577388741805,0.5017117438431843,0.5020053102970367,0.5019170361483143,0.5018697434231844,0.5014467242445371,0.5015358523942521,0.5018063764279246,0.5017301224594488,0.5019656405473263,0.501830106043117,0.5018650036191625,0.5019642818813004,0.5017634187623542,0.5019682142363243,0.5016951256513118,0.5020000611838776,0.5018116432022927,0.5019254992722114,0.5018577391003045,0.5019353502437633,0.5018001464097666,0.5017314444641242,0.5018620509918966,0.5019792151831667,0.5018575876415016,0.5019935156325637,0.5019857113223001,0.5019550445134875,0.5013011545478707,0.5019108844019221,0.5019536477828699,0.5019587884516901,0.5019296550171708,0.5020023120152521,0.5019441073494744,0.502034368872972,0.501775105269361,0.5014853730289993,0.5019303325156219,0.5017383640340521,0.5017634071908419,0.5018060385087059,0.5019683054958811,0.5019334627698324,0.5019848449880416,0.5016943036475193,0.5019650076968604,0.5019263522791992,0.5019952625112424,0.5019832244966885,0.50197622826797,0.5019727748080981,0.501688015224757,0.5019965731150164,0.5019739000047292,0.5019843637852843,0.5017846693679849,0.501855297636022,0.5016643552550824,0.5019078185143463,0.5019407341912041,0.5019834384659554,0.5018905793407737,
STK19,0.4979929811253884,0.5006211556296605,0.5015562103851263,0.5015333539441532,0.501828908570951,0.5,0.5019405374560044,0.5020115220865775,0.5018153294820958,0.5014952755080406,0.5018693261521668,0.5018850312999829,0.5016239568928058,0.5018529877449834,0.5018452857891531,0.5017297792042543,0.5017692594348944,0.5016278471878096,0.5019126058227967,0.5019106102013426,0.5017643385726934,0.5017914198088911,0.5019538532283564,0.5014317784486733,0.5018541242550537,0.5017641732043098,0.5016810564464724,0.5019515236640911,0.5015553151022476,0.501805370491886,0.5017072139150037,0.5018712681038479,0.5017689264146854,0.5014907981935953,0.5017895626761282,0.5018976240261649,0.5019209777739101,0.5017222965161343,0.501913994449668,0.5019813538639096,0.5019291964545866,0.5018515790704471,0.501711472280979,0.5020029841476016,0.5019112172364125,0.501864429401331,0.5014430783032883,0.5015393532375899,0.5017993972123438,0.5017256879789014,0.5019583397465064,0.5018273634390332,0.5018590296262435,0.5019616653451854,0.5017582993253425,0.5019624985846747,0.5016910013098625,0.5019947903755454,0.5018064564798553,0.5019211313963838,0.5018553370675579,0.501929567783833,0.501793892749793,0.5017277997970981,0.5018537498582604,0.501972740511919,0.5018524373548772,0.5019882448242314,0.5019804405139678,0.5019530434933631,0.5013026487154312,0.5019041220687082,0.5019512784199136,0.5019533842303573,0.5019245747724638,0.5019970412069199,0.5019419017217471,0.5020288997701016,0.501776957481059,0.5014808811963757,0.5019252053751597,0.5017400383283811,0.5017580073899113,0.5018028385652351,0.5019627769706593,0.5019280777528567,0.5019792837930295,0.501712462911338,0.50195922523693,0.5019210382573458,0.5019898545077284,0.5019779536883562,0.5019706670729578,0.5019670764340628,0.5016825227306878,0.5019907906550861,0.501968629196397,0.5019789058505244,0.5017822240067142,0.5018520568201774,0.5016580970236901,0.5019022770978318,0.5019354633828719,0.501978288179331,0.5018839453482847,
OXA1L,0.4980335527449909,0.5006235586815955,0.501558067789787,0.5015356290268372,0.501829058386295,0.5019183422197665,0.5,0.5020108019370575,0.501815194559791,0.5014927296004555,0.5018691179312569,0.5018845427618261,0.5016261070993834,0.5018513585538774,0.5018451877596642,0.5017293043015967,0.5017695729350158,0.5016280404799568,0.5019136800639047,0.5019104381553923,0.5017624790972752,0.501791143905175,0.5019535709909848,0.5014332418721056,0.5018521275441928,0.5017615440048289,0.5016805508003209,0.5019517235550707,0.5015545726061201,0.5018045795105722,0.5017060830322078,0.5018708044843841,0.5017669142407115,0.5014879915664898,0.5017899762982374,0.5018974614521343,0.5019206592541863,0.5017220650116123,0.5019149946743143,0.5019809363208751,0.5019299491246872,0.5018523917009661,0.501708852092338,0.5020026052033526,0.5019118240308696,0.5018639840766955,0.5014430910446063,0.5015381543549318,0.5017992058224167,0.5017253380587237,0.5019598812008375,0.5018274961463822,0.5018592442726737,0.5019602301776903,0.5017578647409234,0.5019624548898354,0.5016907965941219,0.5019942847293939,0.5018060206271397,0.5019206257502323,0.5018551213439796,0.5019295472196464,0.5017940091642261,0.5017276858715823,0.5018554051823161,0.5019734163820755,0.5018516516452286,0.5019857789790281,0.5019798507819214,0.5019525378472116,0.5013033004318587,0.5019056533714323,0.5019508159872833,0.5019534429212448,0.5019237446011419,0.5019965355607683,0.5019414700920573,0.5020286095264832,0.5017770067000267,0.5014401156710298,0.5019253255892496,0.5017364914008392,0.5017577289114585,0.5018018948198402,0.5019624853637693,0.5019276863153487,0.5019791596580143,0.501712529490423,0.5019593010358125,0.5019183682333567,0.5019893488615769,0.5019774651501996,0.5019705258299478,0.5019670031844351,0.5016829012824127,0.5019907125746378,0.5019681406582404,0.5019765744463077,0.5017818919915573,0.5018515682820208,0.5016585098701071,0.5019022565336452,0.5019353730252494,0.5019777996411744,0.5018849405159928,
ANKRD20A4,0.4980295450718959,0.500617101649672,0.5015526968568195,0.5015295161579596,0.5018234859443054,0.5019127265642557,0.5019342016509737,0.5,0.5018080282414542,0.5014891007239113,0.5018631179235641,0.5018789271063154,0.50161980894931,0.501846883551316,0.5018393738096153,0.5017237702408964,0.501763957279505,0.5016222964588342,0.5019080644083939,0.5019047792863603,0.5017581647313623,0.5017855004680631,0.5019477096965542,0.5014271132909123,0.5018478779937118,0.5017577734722337,0.5016749783583313,0.5019455530344408,0.5015487561649867,0.5017979471471157,0.5017006798154348,0.5018651219644937,0.5017633694500622,0.5014849442704701,0.5017838057776074,0.5018905630759997,0.5019147570873819,0.5017169314961234,0.5019092801646502,0.5019749363131824,0.5019244518859927,0.5018475014832495,0.5017051789360768,0.5019968344668247,0.5019061387276951,0.5018583252076636,0.5014379026247713,0.501533733926689,0.5017953522171916,0.5017192952491334,0.5019542655453266,0.5018218108432078,0.5018533421058693,0.5019556964571809,0.501752691089347,0.50195669716665,0.5016849562099301,0.5019886690738831,0.5018001802429481,0.5019150100947215,0.5018496020515378,0.5019239290730513,0.5017885441691243,0.5017221810173718,0.5018512013364406,0.5019677550219591,0.5018460627051231,0.5019822365295262,0.5019742073448096,0.5019469221917008,0.5012962583355044,0.5019003520861286,0.5019451571182514,0.5019478704792552,0.5019186838107503,0.5019909199052576,0.5019356729213867,0.5020228810097875,0.5017710613197012,0.5014769368879547,0.5019197508061125,0.501734187756951,0.5017509979709452,0.5017967743178116,0.5019569660713276,0.5019220418845479,0.5019735872160247,0.5017066723267349,0.5019536853803017,0.5019144579895265,0.5019837332060662,0.5019715197698741,0.501964910174437,0.5019614838919934,0.5016771702746327,0.5019852242185431,0.5019625250027295,0.5019729887832847,0.5017751501213283,0.50184595262651,0.5016532640754985,0.5018966675935397,0.501929200013535,0.501972041917989,0.5018791827928074,
RPS27,0.4980035826878633,0.5006179087377577,0.501562699705431,0.5015394308286728,0.5018325687524173,0.5019230619707312,0.5019451222846644,0.5020145562524114,0.5,0.5014996745247924,0.5018726650365961,0.5018891952250688,0.5016305332711866,0.5018571516700693,0.5018484358430888,0.5017320702446217,0.5017701814005159,0.5016270001163036,0.5019181028344515,0.5019136941674635,0.5017654451608216,0.501794714718234,0.5019577001573738,0.5014351281020987,0.5018548296931977,0.501766369546049,0.5016856412751324,0.5019563608289861,0.5015573179576056,0.501805602574734,0.5017077262046127,0.5018751774985463,0.5017732517769659,0.5014948466130243,0.5017916098784719,0.5019004402150613,0.5019254593423177,0.5017268251369679,0.5019199259734564,0.5019860937735866,0.5019351148027937,0.5018565120171229,0.501715668645729,0.5020065695382118,0.5019164912421655,0.5018632527077627,0.5014433839760316,0.5015349717263554,0.5018062557428874,0.5017273022803159,0.5019649113541329,0.5018301828613417,0.5018622789902158,0.5019656143615306,0.5017570732898415,0.5019670852585667,0.5016932488749161,0.5019984290581796,0.5018103956762604,0.5019247700790179,0.5018591672827186,0.5019342318097364,0.501798514121049,0.5017317336194608,0.5018561843259457,0.5019774271295722,0.5018333427740909,0.5019924519628385,0.5019800333394416,0.5019557666208843,0.5013009451042818,0.5019109623174887,0.5019552126523039,0.5019572000880578,0.5019290563408714,0.5020015828220586,0.5019448470753849,0.502033197093779,0.5017797776570786,0.5014848742744754,0.5019304137229137,0.5017416793992774,0.5017585117142666,0.5018066291690659,0.5019673185857981,0.5019300674261128,0.501984233024831,0.5017152441357171,0.5019631378507176,0.5019248304220615,0.5019943961228672,0.501982495303495,0.5019749657084895,0.5019721297007996,0.5016865478486734,0.5019958871353442,0.5019731708115358,0.5019830272093424,0.5017841984880682,0.5018554051161316,0.5016605831845643,0.5019057719541019,0.5019390341068872,0.5019825672050873,0.5018851337471191,
PTEN,0.4979651049684985,0.5006342597491861,0.5015887547976461,0.5015462222012728,0.5018605634681501,0.5019503500539712,0.5019699993826241,0.5020429707921636,0.5018470165820875,0.5,0.5019011104664907,0.5019167377224586,0.5016530777441855,0.5018846941674592,0.5018778682663685,0.5017582785225695,0.5018005615048592,0.5016590283776504,0.5019449263506376,0.5019426070104984,0.5017953119028707,0.501816883249909,0.5019854130152108,0.50141580550662,0.5018853190259315,0.5017873103109916,0.5017051665690777,0.5019813336580963,0.5015839363789193,0.501832692462198,0.5017374178766935,0.5018995690861279,0.5017944723272181,0.501479872532323,0.5018221451533436,0.50192203400737,0.5019524696930173,0.5017543892242523,0.501947232848468,0.5020132585809236,0.5019624346911478,0.5018802591572395,0.5017172296008691,0.50203481727198,0.5019352358193743,0.5018914409693123,0.5014735151915681,0.5015712622452798,0.5018310998526384,0.5017569786487414,0.5019915645098718,0.5018592711927082,0.5018907130783395,0.5019936621543412,0.5017866951283522,0.5019944627240401,0.5017209786702614,0.5020244668055335,0.5018289036560515,0.5019528378188596,0.5018869181240778,0.5019618817568691,0.501817159179749,0.5017592370127608,0.5018662636558286,0.5020057248137718,0.5018839600769249,0.5020200471456694,0.5020105378454174,0.5019844201910242,0.5013261690800955,0.5019364234147721,0.5019829848423895,0.5019856982033932,0.5019528680979655,0.5020287476293956,0.5019644880717816,0.5020604315487798,0.5018087071170559,0.5015141653992964,0.5019533891274569,0.501764699609483,0.50178197026406,0.501834234667312,0.5019947937954657,0.5019599392563497,0.5020111401152784,0.50174445499212,0.5019914959964449,0.5019507673727749,0.5020215609302042,0.502009660110832,0.5020027378985751,0.5019992945081366,0.50169974554806,0.5020226149203798,0.5019915353387501,0.5020106122730001,0.5018083526386357,0.5018832515910552,0.5016901353047213,0.5019340362057485,0.5019676814569457,0.5020099946018068,0.5019166238250271,
