IM regime begins (week), smallest tumor size (g), smallest at (week), tumor size at progression (g), SU regime begins (week), smallest tumor size (g), smallest at (week), tumor size at progression (g), REG regime begins (week), smallest tumor size (g), smallest at (week), tumor size at progression (g), time of progression (week), % resistant, 100 g tumor at (week),,
248.5,0.00878924,621,0.0152586,658,0.0152586,621,0.02662097,678.5,5.80E-07,978,1.07E-06,986,0,,,average time to final progression
248.5,0.00948665,620.5,0.01650431,656.5,0.00309993,725,0.00539053,758.5,0.00539053,725,0.00934851,777.5,0.931844754,1193.5,,754.9488189
248.5,0.04929091,574,0.08530777,611,1.30E-07,935.5,2.30E-07,937,2.00E-07,937.5,4.30E-07,939.5,0,,,
248.5,0.86295873,494.5,1.50394321,532,1.50394321,494.5,2.62155749,554.5,2.62155749,494.5,4.54157451,577,0.994808274,799,,0.27464266
248.5,0.04879698,576,0.08465206,611.5,0.08465206,576,0.14660719,632.5,0.01879337,711.5,0.03271074,747.5,0,1105,,
248.5,0.51217238,509,0.88524774,546,0.88524774,509,1.54541179,579.5,1.54541179,509,2.69334086,600.5,0.945771227,840.5,,
248.5,1.10741071,487.5,1.91584267,525,1.91584267,487.5,3.33501656,550,3.33501656,487.5,5.81047601,574,0.982218369,788.5,,
248.5,0.33667192,521,0.58764951,558,0.58764951,521,1.02382819,579,1.02382819,521,1.76939355,599,0.995175296,839,,
248.5,0.13038967,547.5,0.2279088,584,0.2279088,547.5,0.39696322,605.5,0.39696322,547.5,0.69541172,625,0.986487947,879.5,,
248.5,0.2135807,534,0.37361156,570.5,0.37361156,534,0.64654899,591,0.64654899,534,1.13131264,616.5,0.955245475,884,,
248.5,0.02403792,594.5,0.04199947,630.5,8.00E-08,958,1.60E-07,958.5,6.00E-08,961.5,1.20E-07,963,0,,,
248.5,0.03518714,583.5,0.06137173,620,0.06119989,621.5,0.1060475,658,0.04419494,703.5,0.07681806,739,0,1053.5,,
248.5,0.03227698,587,0.05585031,622.5,0.05585031,587,0.09770562,643.5,0.09770562,587,0.16997336,668,0.94978619,962.5,,
248.5,0.06155156,567.5,0.10701703,605,0.10701703,567.5,0.18640557,625.5,0.07673596,670,0.13384707,707,0.930856088,1011.5,,
248.5,0.29461262,524.5,0.50994269,561.5,0.20060014,608,0.35048965,645,0.1643559,685.5,0.28662161,722.5,0.147491042,1008.5,,
248.5,0.59884974,505,1.04153184,542,1.04153184,505,1.80489848,566.5,1.80489848,505,3.15261741,588,0.973315773,818.5,,
248.5,0.86769503,494,1.5101395,532,0.06080805,645,0.10617716,681.5,0.10617716,645,0.18550434,700.5,0.933528995,998,,
248.5,0.30041406,524,0.52533888,561,0.52427885,563,0.91610166,600.5,0.91610166,563,1.59561112,622,0.918791209,857,,
249,0.03128681,587,0.05462152,624.5,0.05462152,587,0.09545451,645,2.00E-08,957,5.00E-08,958.5,0,,,
248.5,0.20779983,534.5,0.36335797,571.5,0.36335797,534.5,0.62815837,592,0.62815837,534.5,1.09502455,625.5,0.935893866,890,,
248.5,1.1011375,487,1.91123207,525,0.31134167,599.5,0.54418117,635.5,0.53182042,642,0.9210711,678.5,0.797209097,915.5,,
248.5,0.03997672,580,0.06958808,617,0.06958808,580,0.12106809,637.5,1.50E-07,955,2.60E-07,958.5,0,,,
248.5,6.60E-07,848.5,1.15E-06,859,1.00E-08,893.5,4.00E-08,894,,,,,,,,
248.5,0.00686743,628,0.01200935,665.5,0.00788876,694.5,0.01372895,730.5,0.00596756,775,0.01039602,809.5,0,1215.5,,
248.5,0.01546741,607,0.02685978,643.5,0.02685978,607,0.04702453,664,0.04702453,607,0.08150709,683,0.994765118,1033,,
248.5,0.02882191,590,0.04998338,625.5,0.04998338,590,0.08719074,646,0.08719074,590,0.15104661,665,0.994342144,988.5,,
248.5,0.02175206,597.5,0.0379569,634,0.0379569,597.5,0.06627869,654.5,0.06627869,597.5,0.11503046,673.5,0.994654025,1013,,
248.5,0.14757819,544.5,0.25560054,580.5,0.07271676,637,0.12599697,673,0.05475477,715.5,0.09564279,752.5,0,1077.5,,
